source:,"Table 32-10-0117-01  Production, disposition and farm value of poultry meat (x 1,000)",,,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,Commodity,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1942,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60563,1.1.1.1,44607,,,,0
1942,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60594,1.1.1.2,101167,,,,0
1942,Canada,2016A000011124,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60625,1.1.1.3,43356,,,,0
1942,Canada,2016A000011124,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60749,1.1.2.1,3380,,,,0
1942,Canada,2016A000011124,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60777,1.1.2.2,18395,,,,0
1942,Canada,2016A000011124,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60805,1.1.2.3,8366,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60564,3.1.1.1,602,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60595,3.1.1.2,1365,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60626,3.1.1.3,607,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60750,3.1.2.1,14,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60778,3.1.2.2,78,,,,0
1942,Prince Edward Island,2016A000211,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60806,3.1.2.3,41,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60565,3.2.1.1,144,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60596,3.2.1.2,327,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60627,3.2.1.3,145,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60751,3.2.2.1,2,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60779,3.2.2.2,10,,,,0
1942,Prince Edward Island,2016A000211,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60807,3.2.2.3,5,,,,0
1942,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60566,3.3.1.1,447,,,,0
1942,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60597,3.3.1.2,1014,,,,0
1942,Prince Edward Island,2016A000211,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60628,3.3.1.3,451,,,,0
1942,Prince Edward Island,2016A000211,Sold,Turkey,Birds,Birds,37,thousands,3,v60752,3.3.2.1,12,,,,0
1942,Prince Edward Island,2016A000211,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60780,3.3.2.2,66,,,,0
