source: ,"Table 32-10-0039-01  Fertilizer shipments to Canadian agriculture markets, by nutrient content and fertilizer year, cumulative data (x 1,000)",,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Fertilizer nutrient content,Period,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007/2008,Atlantic provinces,2016A00011,Nitrogen,July to June,Metric tonnes,214,thousands,3,v52471650,3.1.4,30,,,,0
2007/2008,Atlantic provinces,2016A00011,Phosphate,July to September,Metric tonnes,214,thousands,3,v52471531,3.2.1,,0s,,,0
2007/2008,Atlantic provinces,2016A00011,Phosphate,July to December,Metric tonnes,214,thousands,3,v52471571,3.2.2,3,,,,0
2007/2008,Atlantic provinces,2016A00011,Phosphate,July to March,Metric tonnes,214,thousands,3,v52471611,3.2.3,18,,,,0
2007/2008,Atlantic provinces,2016A00011,Phosphate,July to June,Metric tonnes,214,thousands,3,v52471651,3.2.4,,x,,,0
2007/2008,Atlantic provinces,2016A00011,Potash,July to September,Metric tonnes,214,thousands,3,v52471532,3.3.1,3,,,,0
2007/2008,Atlantic provinces,2016A00011,Potash,July to December,Metric tonnes,214,thousands,3,v52471572,3.3.2,6,,,,0
2007/2008,Atlantic provinces,2016A00011,Potash,July to March,Metric tonnes,214,thousands,3,v52471612,3.3.3,12,,,,0
2007/2008,Atlantic provinces,2016A00011,Potash,July to June,Metric tonnes,214,thousands,3,v52471652,3.3.4,,x,,,0
2007/2008,Atlantic provinces,2016A00011,Sulphur,July to September,Metric tonnes,214,thousands,3,v52471533,3.4.1,,x,,,0
2007/2008,Atlantic provinces,2016A00011,Sulphur,July to December,Metric tonnes,214,thousands,3,v52471573,3.4.2,,x,,,0
2007/2008,Atlantic provinces,2016A00011,Sulphur,July to March,Metric tonnes,214,thousands,3,v52471613,3.4.3,3,,,,0
2007/2008,Atlantic provinces,2016A00011,Sulphur,July to June,Metric tonnes,214,thousands,3,v52471653,3.4.4,,x,,,0
2007/2008,Quebec,2016A000224,Nitrogen,July to September,Metric tonnes,214,thousands,3,v52471534,4.1.1,18,,,,0
2007/2008,Quebec,2016A000224,Nitrogen,July to December,Metric tonnes,214,thousands,3,v52471574,4.1.2,31,,,,0
2007/2008,Quebec,2016A000224,Nitrogen,July to March,Metric tonnes,214,thousands,3,v52471614,4.1.3,42,,,,0
